name,category,sub_category,lat,lng,district,opening_hours,budget
Rumeli Kavağı Tabyaları,History & Culture,Historical Building,41.1820279,29.0746658,Sarıyer,09:00-22:00,Low
Yenimahalle Astsubay Orduevi,Dining,Turkish,41.1722647,29.0659218,Sarıyer,09:00-22:00,Medium
Sultan's Kitchen,Dining,Regional,41.0062489,28.969526,Fatih,09:00-22:00,Medium
Namlı Kebap,Dining,World Cuisine,41.0279801,29.1911301,Çekmeköy,"Mo-Su,PH 08:30-21:30",Medium
Salon Cafe,Dining,Turkish,41.0682401,29.0009827,Şişli,09:00-22:00,Medium
Akademi Lezzet,Dining,International,41.0686953,29.0019483,Şişli,09:00-22:00,Medium
İmer Cafe,Dining,Turkish,41.0689377,29.0020583,Şişli,09:00-22:00,Medium
Rasathane Kebap,Dining,World Cuisine,41.0632132,29.0662247,Ümraniye,09:00-22:00,Medium
Kartal Közde Döner,Dining,Turkish,41.0671818,29.003537,Şişli,Mo-Sa 11:00-21:00; PH closed,Medium
Limma,Dining,World Cuisine,41.0678138,29.0067149,Şişli,09:00-22:00,Medium
Cumhuriyet Anıtı,History & Culture,Historical Building,41.0369723,28.9851248,Beyoğlu,09:00-22:00,Low
Yenice,Dining,Regional,41.0860548,29.0484362,Beşiktaş,09:00-22:00,Medium
Hatay Medeniyetler Sofrasi,Dining,World Cuisine,41.0357323,28.9835307,Beyoğlu,09:00-22:00,Medium
Suna'nın Yeri,Dining,Seafood,41.074314,29.0581857,Ümraniye,09:00-22:00,Medium
2. Abdülhamit Anıtı,History & Culture,Historical Building,41.0017691,29.0071158,Kadıköy,09:00-22:00,Low
Cigeristan,Dining,Turkish,41.0117796,28.9493245,Fatih,09:00-22:00,Medium
Seyhmuz Kebap,Dining,World Cuisine,41.0088964,28.9696383,Fatih,09:00-22:00,Medium
Otto Cihangir,Dining,World Cuisine,41.032191,28.9829731,Beyoğlu,09:00-22:00,Medium
E Balik,Dining,World Cuisine,41.00909,29.1354605,Ataşehir,09:00-22:00,Medium
Hasan Usta,Dining,World Cuisine,41.0083361,29.1383639,Ataşehir,09:00-22:00,Medium
Orman Cafe & Restaurant,Dining,World Cuisine,41.0277645,29.1373818,Çekmeköy,09:00-22:00,Medium
Cafe Garage,Dining,World Cuisine,41.0049313,29.1315253,Ataşehir,09:00-22:00,Medium
St. George's Anglikan Kilisesi,History & Culture,Historical Building,41.1909401,28.9623135,Sarıyer,09:00-22:00,Low
5. Kat,Dining,World Cuisine,41.0323979,28.9847143,Beyoğlu,09:00-22:00,Medium
Sa Va Anatolian Breakfast House,Dining,Breakfast;Turkish,41.0320474,28.9837075,Beyoğlu,09:00-22:00,Medium
Hayvore,Dining,Mediterranean;Regional;Turkish,41.0338294,28.9788816,Beyoğlu,09:00-22:00,Medium
Filiboz Antik Bizans kasabası,History & Culture,Historical Building,41.1261093,28.7018667,Arnavutköy,09:00-22:00,Low
Nakka Bistro,Dining,World Cuisine,41.0268562,28.9743784,Beyoğlu,09:00-22:00,Medium
Farika Döner,Dining,World Cuisine,41.0231587,29.1298469,Ümraniye,09:00-22:00,Medium
Dogaciyiz.com gourmet şarküteri,Dining,Naturel_Foods,41.0300565,28.9824119,Beyoğlu,08:00-24:00,Medium
Captain,Dining,World Cuisine,41.0862571,29.0080208,Şişli,09:00-22:00,Medium
Cafe Levent,Dining,Köfte,41.0855803,29.0084838,Şişli,09:00-22:00,Medium
1972 Çevre Pasta Cafe Restaurant,Dining,World Cuisine,41.0854131,29.0087046,Şişli,09:00-22:00,Medium
on1 Bistro,Dining,World Cuisine,41.0856851,29.00859,Şişli,09:00-22:00,Medium
Sefik,Dining,Köfte,41.0858347,29.0084532,Şişli,09:00-22:00,Medium
Capital,Dining,World Cuisine,41.0859286,29.0086725,Şişli,09:00-22:00,Medium
Yücel simit,Dining,World Cuisine,41.0860694,29.0085729,Şişli,09:00-22:00,Medium
All Flavors,Dining,World Cuisine,41.0864015,29.0083311,Şişli,09:00-22:00,Medium
Pasha,Dining,Turkish,41.0082975,28.9743163,Fatih,09:00-22:00,Medium
ANTEB Kebab & Pizza,Dining,Turkish,41.0085811,28.9740441,Fatih,09:00-22:00,Medium
Ulus 29,Dining,Regional,41.0645058,29.031933,Beşiktaş,"18:30+ ""Dinner""; Mo-Fr 12:00-15:00 ""Lunch""",Medium
The House Cafe,Dining,World Cuisine,41.0473665,29.0254137,Beşiktaş,09:00-22:00,Medium
Iskele,Dining,Seafood,41.0882536,29.0568235,Beykoz,09:00-22:00,Medium
Angel Blue,Dining,Seafood,41.0987375,29.0533167,Beykoz,09:00-22:00,Medium
Aquarius,Dining,World Cuisine,41.1687636,29.0578491,Sarıyer,09:00-22:00,Medium
Dolphin,Dining,Seafood,41.1685623,29.0577779,Sarıyer,09:00-22:00,Medium
Super Yedigün,Dining,Seafood,41.1831753,29.075266,Sarıyer,09:00-22:00,Medium
Atatürk Anıtı,History & Culture,Historical Building,41.2464998,29.0369322,Sarıyer,09:00-22:00,Low
Yemekhane,Dining,World Cuisine,41.204818,29.0733666,Sarıyer,09:00-22:00,Medium
Mio,Dining,World Cuisine,41.2049719,29.0733588,Sarıyer,09:00-22:00,Medium
DOYUYO!,Dining,World Cuisine,41.2049624,29.0734297,Sarıyer,09:00-22:00,Medium
Divan Sports Cafe,Dining,World Cuisine,41.2050621,29.0733457,Sarıyer,09:00-22:00,Medium
Çanak Kebap,Dining,Regional;Kebab;Turkish,41.0054361,29.045525,Kadıköy,09:00-22:00,Medium
Giorgi,Dining,Georgian,41.0080079,28.9493367,Fatih,09:00-22:00,Medium
ege rum meyhanesi cam ve ambalaj atık,Dining,World Cuisine,41.0242836,28.97408,Beyoğlu,09:00-22:00,Medium
49 Çukurcuma,Dining,Pizza,41.0334062,28.9813914,Beyoğlu,09:00-22:00,Medium
Çınaraltı Cafe Çengelköy,Dining,"Regional,_Local,_Turkish",41.0502297,29.0524543,Üsküdar,09:00-22:00,Medium
Labella Premium Topkapı,Dining,World Cuisine,41.0262341,28.9197024,Eyüpsultan,09:00-22:00,Medium
